algorithm,threads,batch_size,write_ratio,insert_p95_latency (ms),insert_p99_latency (ms),insert_mean_latency (ms),insert_qps,search_p95_latency (ms),search_p99_latency (ms),search_mean_latency (ms),search_qps,recall
hnsw,48,500,0.1,14340.0,14550.0,12445.26,1876.5,380.0,1099.0,296.16,16888.47,95.113
hnsw,48,500,0.2,10587.0,11047.0,9292.11,2506.46,317.0,855.0,224.15,10025.83,95.092
hnsw,48,500,0.5,8546.0,8976.0,7194.0,3232.44,249.0,443.0,170.48,3232.44,95.125
hnsw,48,500,0.8,5280.0,5412.0,4402.13,5270.43,198.0,332.0,100.36,1317.61,95.102
hnsw,48,500,0.9,5609.0,5945.0,4696.49,4942.74,206.0,344.0,106.25,543.7,95.131
parlayhnsw,48,500,0.1,28539.0,28667.0,24430.3,953.71,857.0,2701.0,665.5,8583.41,93.895
parlayhnsw,48,500,0.2,16082.0,16295.0,13812.37,1679.44,498.0,2012.0,409.64,6717.75,93.874
parlayhnsw,48,500,0.5,8592.0,8777.0,7483.11,3103.73,202.0,1152.0,184.35,3103.73,94.038
parlayhnsw,48,500,0.8,6735.0,6940.0,5899.27,3922.46,186.0,517.0,153.86,980.62,94.319
parlayhnsw,48,500,0.9,6415.0,6625.0,5614.27,4125.98,159.0,741.0,133.51,453.86,94.349
parlayvamana,48,500,0.1,26958.0,28071.0,23869.4,975.9,602.0,2685.0,561.5,8783.13,92.684
parlayvamana,48,500,0.2,20256.0,20985.0,17852.03,1301.13,507.0,1480.0,432.53,5204.52,92.46
parlayvamana,48,500,0.5,16385.0,17119.0,14245.85,1630.31,372.0,730.0,314.96,1630.31,92.735
parlayvamana,48,500,0.8,15302.0,15963.0,13184.51,1760.4,348.0,365.0,287.92,440.1,91.85
parlayvamana,48,500,0.1,27045.0,27903.0,23914.04,973.56,602.0,3290.0,575.47,8762.0,92.648
