algorithm,threads,batch_size,write_ratio,insert_p95_latency (ms),insert_p99_latency (ms),insert_mean_latency (ms),insert_qps,search_p95_latency (ms),search_p99_latency (ms),search_mean_latency (ms),search_qps,recall
hnsw,48,100,0.1,5747.0,5981.0,4955.58,945.74,191.0,250.0,116.48,8511.66,95.1
hnsw,48,100,0.2,4049.0,4221.0,3235.83,1450.07,120.0,164.0,70.98,5800.26,95.096
hnsw,48,100,0.5,2432.0,2624.0,1882.56,2491.53,78.0,120.0,40.89,2491.53,95.023
hnsw,48,100,0.8,2459.0,2587.0,1962.55,2389.68,76.0,117.0,42.34,597.42,95.104
hnsw,48,100,0.9,2595.0,2782.0,2047.62,2291.41,80.0,120.0,44.02,252.06,95.106
parlayhnsw,48,100,0.1,8055.0,8228.0,6984.79,671.05,195.0,221.0,159.76,6039.48,95.119
parlayhnsw,48,100,0.2,5712.0,5886.0,4924.91,949.72,152.0,179.0,120.23,3798.87,95.051
parlayhnsw,48,100,0.5,4013.0,4182.0,3415.31,1372.34,103.0,125.0,74.13,1372.34,95.09
parlayhnsw,48,100,0.8,3595.0,3699.0,3081.61,1520.24,96.0,116.0,67.54,380.06,95.162
parlayhnsw,48,100,0.9,3677.0,3846.0,3158.72,1483.69,98.0,121.0,68.61,163.21,94.95
parlayvamana,48,100,0.1,6880.0,7091.0,6059.72,773.85,151.0,162.0,133.01,6964.67,94.465
parlayvamana,48,100,0.2,5571.0,5725.0,4849.33,966.67,123.0,133.0,106.23,3866.66,94.426
parlayvamana,48,100,0.5,4678.0,4818.0,4012.35,1168.34,102.0,108.0,86.05,1168.34,94.395
parlayvamana,48,100,0.8,4475.0,4628.0,3818.1,1227.71,98.0,104.0,81.72,306.93,94.394
parlayvamana,48,100,0.1,6940.0,7136.0,6113.17,766.79,156.0,167.0,136.57,6901.1,94.419
vamana,48,100,0.1,5522.0,5795.0,4632.48,1012.12,176.0,225.0,106.39,9109.06,94.641
vamana,48,100,0.2,3895.0,4131.0,3033.6,1546.82,121.0,159.0,66.59,6187.29,94.612
vamana,48,100,0.5,2115.0,2254.0,1536.53,3051.61,69.0,97.0,33.51,3051.61,94.569
vamana,48,100,0.8,1978.0,2170.0,1407.07,3332.09,64.0,101.0,30.47,833.02,94.568
vamana,48,100,0.1,5367.0,5600.0,4534.18,1031.05,203.0,271.0,118.16,9279.49,94.641
